Electricity Load [J],Heating Load [J],Cooling Load [J],Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Speed [m/s](Hourly)
0.008260601079473198,0.00012493578816940608,0.02304436659346696,0.0,1.875,1.875
0.005536544500246012,0.0,0.0,0.0,2.5,2.5
0.006920789206085527,0.0,0.0,0.0,2.2083333333333335,2.2083333333333335
0.005355677051985433,0.0,0.0,0.0,2.0,2.0
0.010051013514285721,0.01311952558097928,0.00023665311511447446,0.0,2.0,2.0
0.021006798592986382,0.009593711433705797,3.261981717631176e-05,0.0,2.0,2.0
0.024429383070267395,0.012582985147874091,0.009560189862148044,0.0,2.0,2.0
0.02777465678431179,0.016018143105238462,0.010857260650885043,7.010336170074016e-05,2.0,2.0
0.032930763774254974,0.012440094186940387,0.011302874101683865,0.00043806449509276474,1.4166666666666667,1.4166666666666667
0.037611336778029233,0.0046950105473201505,0.011869444036998331,0.0007461932244285762,1.0,1.0
0.046506095833023134,0.0018960346927031058,0.013548634061968894,0.0007787994391731062,1.0,1.0
0.051222895598274025,0.0021416734068824155,0.01483689552114911,7.972219505037659e-05,1.0,1.0
0.04807836242144011,0.0028389281209133927,0.014999189226288977,0.00020867977436499403,1.0,1.0
0.04493382924460617,0.0004037802766093806,0.01473716962288558,0.0010939385046789918,1.0,1.0
0.04178929606777224,0.0,0.015662716924893502,0.0008012977273468321,1.5833333333333333,1.5833333333333333
0.043158667651589,0.0,0.015278729138806676,7.743976001825946e-05,2.0,2.0
0.047554378872359165,0.0014460730732079217,0.01424575778039131,0.0,2.0,2.0
0.047554378872359165,0.002622648484666696,0.014479625079206554,0.0,2.0,2.0
0.044409845695525245,0.00105775132095006,0.014534396853328208,0.0,2.0,2.0
0.04126531251869131,0.002938802050537401,0.014652979384950296,0.0,2.0,2.0
0.03812077934185739,0.006596227396162555,0.014187316520605935,0.0,1.4166666666666667,1.4166666666666667
0.03497624616502346,0.007234306453202402,0.01377340050329269,0.0,1.0,1.0
0.020048301130184503,0.006413516035893579,0.012165434235946293,0.0,1.0,1.0
0.00905961012151011,0.009386496689677214,0.010672415710039974,0.0,1.0,1.0
0.007871828209930045,0.00012025655732671887,0.022982589387051437,0.0,1.0,1.0
0.005536544500246012,0.0,0.0,0.0,1.0,1.0
0.006920789206085527,0.0,0.0,0.0,1.0,1.0
0.005355677051985433,0.0,0.0,0.0,1.0,1.0
0.010051013514285721,0.012759999380762914,0.00022435678109580597,0.0,1.0,1.0
0.02220916169927851,0.007659695007886664,2.6810205235226335e-05,0.0,1.0,1.0
0.025559821744766037,0.010522840250869407,0.009702444855960094,0.0,1.0,1.0
0.028588429284874733,0.014549506081775257,0.011830870572827485,3.521471192409273e-05,1.0,1.0
0.033541666410548766,0.011815662081755067,0.01261516808491896,0.0001584662036584173,1.0,1.0
0.038258466175799664,0.009186257811090455,0.01303276919636326,9.71665199387003e-05,1.0,1.0
0.04753952194593224,0.0023007666576824403,0.013791222109966693,0.0004519221363591901,1.0,1.0
0.05225632171118313,0.0015528202998136241,0.01495715751000405,0.0005683263229971633,1.0,1.0
0.04911178853434921,0.0002889323101250683,0.0157435633700203,0.0005238188398708796,1.0,1.0
0.045967255357515266,0.0,0.0163844406407685,5.298509895986174e-05,1.0,1.0
0.043735636569892516,0.0,0.016414306650676815,0.0,1.5833333333333333,1.5833333333333333
0.045039799983051326,0.0,0.01664235282627187,0.0,2.0,2.0
0.049887016089618104,0.0,0.015502039220330102,0.0,2.0,2.0
0.049887016089618104,0.0,0.017538501599726863,0.0,2.0,2.0
0.04674248291278417,0.0,0.018453076523111425,0.0,2.0,2.0
0.04359794973595025,0.0,0.018660849252146745,0.0,2.0,2.0
0.04045341655911632,0.0,0.0178528820236206,0.0,2.0,2.0
0.037308883382282394,0.0,0.015930998080568373,0.0,2.0,2.0
0.020048301130184503,0.00012263420691610807,0.0128126514012265,0.0,2.0,2.0
0.00903814681855951,0.0039931703324998565,0.011141631279285363,0.0,2.0,2.0
0.007871828209930045,0.0,0.02959487728281456,0.0,2.0,2.0
0.005536544500246012,0.0,0.0,0.0,2.0,2.0
0.006920789206085527,0.0,0.0,0.0,2.0,2.0
0.005355677051985433,0.0,0.0,0.0,2.0,2.0
0.010051013514285721,0.0119493713035844,0.0013990194792674793,0.0,2.0,2.0
0.02220916169927851,0.005356021806345286,7.622098676058387e-05,0.0,2.0,2.0
0.025559821744766037,0.007996017096822117,0.012574620047029667,0.0,2.0,2.0
0.02855944787569343,0.01098566544146835,0.012334249490028674,5.216994359124851e-05,2.0,2.0
